chome,,,1,名詞,固有名詞,地域,一般,*,*,chome,チョウメ,丁目
choome,,,1,名詞,固有名詞,地域,一般,*,*,choome,チョウメ,丁目
choume,,,1,名詞,固有名詞,地域,一般,*,*,choume,チョウメ,丁目
chohme,,,1,名詞,固有名詞,地域,一般,*,*,chohme,チョウメ,丁目
sonosawa,,,1,名詞,固有名詞,地域,一般,*,*,sonosawa,ソノサワ,園沢
１丁目,,,1,名詞,固有名詞,地域,一般,*,*,１丁目,イチノ,イチノ
２丁目,,,1,名詞,固有名詞,地域,一般,*,*,２丁目,ニノ,ニノ
３丁目,,,1,名詞,固有名詞,地域,一般,*,*,３丁目,サンノ,サンノ
４丁目,,,1,名詞,固有名詞,地域,一般,*,*,４丁目,シノ,シノ
５丁目,,,1,名詞,固有名詞,地域,一般,*,*,５丁目,ゴノ,ゴノ
６丁目,,,1,名詞,固有名詞,地域,一般,*,*,６丁目,ロクノ,ロクノ
７丁目,,,1,名詞,固有名詞,地域,一般,*,*,７丁目,ナナノ,ナナノ
８丁目,,,1,名詞,固有名詞,地域,一般,*,*,８丁目,ハチノ,ハチノ
９丁目,,,1,名詞,固有名詞,地域,一般,*,*,９丁目,クノ,クノ
１０丁目,,,1,名詞,固有名詞,地域,一般,*,*,１０丁目,ジュウノ,ジュウノ
２０丁目,,,1,名詞,固有名詞,地域,一般,*,*,２０丁目,ニジュウノ,ニジュウノ
３０丁目,,,1,名詞,固有名詞,地域,一般,*,*,３０丁目,サンジュウノ,サンジュウノ
４０丁目,,,1,名詞,固有名詞,地域,一般,*,*,４０丁目,シジュウノ,シジュウノ
５０丁目,,,1,名詞,固有名詞,地域,一般,*,*,５０丁目,ゴジュウノ,ゴジュウノ
６０丁目,,,1,名詞,固有名詞,地域,一般,*,*,６０丁目,ロクジュウノ,ロクジュウノ
７０丁目,,,1,名詞,固有名詞,地域,一般,*,*,７０丁目,ナナジュウノ,ナナジュウノ
８０丁目,,,1,名詞,固有名詞,地域,一般,*,*,８０丁目,ハチジュウノ,ハチジュウノ
９０丁目,,,1,名詞,固有名詞,地域,一般,*,*,９０丁目,クジュウノ,クジュウノ
一丁目,,,1,名詞,固有名詞,地域,一般,*,*,一丁目,イチノ,イチノ
二丁目,,,1,名詞,固有名詞,地域,一般,*,*,二丁目,ニノ,ニノ
ニ丁目,,,1,名詞,固有名詞,地域,一般,*,*,ニ丁目,ニノ,二丁目
三丁目,,,1,名詞,固有名詞,地域,一般,*,*,三丁目,サンノ,サンノ
四丁目,,,1,名詞,固有名詞,地域,一般,*,*,四丁目,シノ,シノ
五丁目,,,1,名詞,固有名詞,地域,一般,*,*,五丁目,ゴノ,ゴノ
六丁目,,,1,名詞,固有名詞,地域,一般,*,*,六丁目,ロクノ,ロクノ
七丁目,,,1,名詞,固有名詞,地域,一般,*,*,七丁目,ナナノ,ナナノ
八丁目,,,1,名詞,固有名詞,地域,一般,*,*,八丁目,ハチノ,ハチノ
九丁目,,,1,名詞,固有名詞,地域,一般,*,*,九丁目,クノ,クノ
十丁目,,,1,名詞,固有名詞,地域,一般,*,*,十丁目,ジュウノ,ジュウノ
１番,,,1,名詞,固有名詞,地域,一般,*,*,１番,イチノ,イチノ
２番,,,1,名詞,固有名詞,地域,一般,*,*,２番,ニノ,ニノ
３番,,,1,名詞,固有名詞,地域,一般,*,*,３番,サンノ,サンノ
４番,,,1,名詞,固有名詞,地域,一般,*,*,４番,シノ,シノ
５番,,,1,名詞,固有名詞,地域,一般,*,*,５番,ゴノ,ゴノ
６番,,,1,名詞,固有名詞,地域,一般,*,*,６番,ロクノ,ロクノ
７番,,,1,名詞,固有名詞,地域,一般,*,*,７番,ナナノ,ナナノ
８番,,,1,名詞,固有名詞,地域,一般,*,*,８番,ハチノ,ハチノ
９番,,,1,名詞,固有名詞,地域,一般,*,*,９番,クノ,クノ
１０番,,,1,名詞,固有名詞,地域,一般,*,*,１０番,ジュウノ,ジュウノ
２０番,,,1,名詞,固有名詞,地域,一般,*,*,２０番,ニジュウノ,ニジュウノ
３０番,,,1,名詞,固有名詞,地域,一般,*,*,３０番,サンジュウノ,サンジュウノ
４０番,,,1,名詞,固有名詞,地域,一般,*,*,４０番,シジュウノ,シジュウノ
５０番,,,1,名詞,固有名詞,地域,一般,*,*,５０番,ゴジュウノ,ゴジュウノ
６０番,,,1,名詞,固有名詞,地域,一般,*,*,６０番,ロクジュウノ,ロクジュウノ
７０番,,,1,名詞,固有名詞,地域,一般,*,*,７０番,ナナジュウノ,ナナジュウノ
８０番,,,1,名詞,固有名詞,地域,一般,*,*,８０番,ハチジュウノ,ハチジュウノ
９０番,,,1,名詞,固有名詞,地域,一般,*,*,９０番,クジュウノ,クジュウノ
一番,,,1,名詞,固有名詞,地域,一般,*,*,一番,イチノ,イチノ
二番,,,1,名詞,固有名詞,地域,一般,*,*,二番,ニノ,ニノ
ニ番,,,1,名詞,固有名詞,地域,一般,*,*,ニ番,ニノ,二番
三番,,,1,名詞,固有名詞,地域,一般,*,*,三番,サンノ,サンノ
四番,,,1,名詞,固有名詞,地域,一般,*,*,四番,シノ,シノ
五番,,,1,名詞,固有名詞,地域,一般,*,*,五番,ゴノ,ゴノ
六番,,,1,名詞,固有名詞,地域,一般,*,*,六番,ロクノ,ロクノ
七番,,,1,名詞,固有名詞,地域,一般,*,*,七番,ナナノ,ナナノ
八番,,,1,名詞,固有名詞,地域,一般,*,*,八番,ハチノ,ハチノ
九番,,,1,名詞,固有名詞,地域,一般,*,*,九番,クノ,クノ
十番,,,1,名詞,固有名詞,地域,一般,*,*,十番,ジュウノ,ジュウノ
１番地,,,1,名詞,固有名詞,地域,一般,*,*,１番地,イチノ,イチノ
２番地,,,1,名詞,固有名詞,地域,一般,*,*,２番地,ニノ,ニノ
３番地,,,1,名詞,固有名詞,地域,一般,*,*,３番地,サンノ,サンノ
４番地,,,1,名詞,固有名詞,地域,一般,*,*,４番地,シノ,シノ
５番地,,,1,名詞,固有名詞,地域,一般,*,*,５番地,ゴノ,ゴノ
６番地,,,1,名詞,固有名詞,地域,一般,*,*,６番地,ロクノ,ロクノ
７番地,,,1,名詞,固有名詞,地域,一般,*,*,７番地,ナナノ,ナナノ
８番地,,,1,名詞,固有名詞,地域,一般,*,*,８番地,ハチノ,ハチノ
９番地,,,1,名詞,固有名詞,地域,一般,*,*,９番地,クノ,クノ
１０番地,,,1,名詞,固有名詞,地域,一般,*,*,１０番地,ジュウノ,ジュウノ
２０番地,,,1,名詞,固有名詞,地域,一般,*,*,２０番地,ニジュウノ,ニジュウノ
３０番地,,,1,名詞,固有名詞,地域,一般,*,*,３０番地,サンジュウノ,サンジュウノ
４０番地,,,1,名詞,固有名詞,地域,一般,*,*,４０番地,シジュウノ,シジュウノ
５０番地,,,1,名詞,固有名詞,地域,一般,*,*,５０番地,ゴジュウノ,ゴジュウノ
６０番地,,,1,名詞,固有名詞,地域,一般,*,*,６０番地,ロクジュウノ,ロクジュウノ
７０番地,,,1,名詞,固有名詞,地域,一般,*,*,７０番地,ナナジュウノ,ナナジュウノ
８０番地,,,1,名詞,固有名詞,地域,一般,*,*,８０番地,ハチジュウノ,ハチジュウノ
９０番地,,,1,名詞,固有名詞,地域,一般,*,*,９０番地,クジュウノ,クジュウノ
一番地,,,1,名詞,固有名詞,地域,一般,*,*,一番地,イチノ,イチノ
二番地,,,1,名詞,固有名詞,地域,一般,*,*,二番地,ニノ,ニノ
ニ番地,,,1,名詞,固有名詞,地域,一般,*,*,ニ番地,ニノ,二番地
三番地,,,1,名詞,固有名詞,地域,一般,*,*,三番地,サンノ,サンノ
四番地,,,1,名詞,固有名詞,地域,一般,*,*,四番地,シノ,シノ
五番地,,,1,名詞,固有名詞,地域,一般,*,*,五番地,ゴノ,ゴノ
六番地,,,1,名詞,固有名詞,地域,一般,*,*,六番地,ロクノ,ロクノ
七番地,,,1,名詞,固有名詞,地域,一般,*,*,七番地,ナナノ,ナナノ
八番地,,,1,名詞,固有名詞,地域,一般,*,*,八番地,ハチノ,ハチノ
九番地,,,1,名詞,固有名詞,地域,一般,*,*,九番地,クノ,クノ
十番地,,,1,名詞,固有名詞,地域,一般,*,*,十番地,ジュウノ,ジュウノ
１地割,,,1,名詞,固有名詞,地域,一般,*,*,１地割,イチノ,イチノ
２地割,,,1,名詞,固有名詞,地域,一般,*,*,２地割,ニノ,ニノ
３地割,,,1,名詞,固有名詞,地域,一般,*,*,３地割,サンノ,サンノ
４地割,,,1,名詞,固有名詞,地域,一般,*,*,４地割,シノ,シノ
５地割,,,1,名詞,固有名詞,地域,一般,*,*,５地割,ゴノ,ゴノ
６地割,,,1,名詞,固有名詞,地域,一般,*,*,６地割,ロクノ,ロクノ
７地割,,,1,名詞,固有名詞,地域,一般,*,*,７地割,ナナノ,ナナノ
８地割,,,1,名詞,固有名詞,地域,一般,*,*,８地割,ハチノ,ハチノ
９地割,,,1,名詞,固有名詞,地域,一般,*,*,９地割,クノ,クノ
１０地割,,,1,名詞,固有名詞,地域,一般,*,*,１０地割,ジュウノ,ジュウノ
